,throttle,steer,pitch,yaw,roll,jump,boost,handbrake
5571,,,,,,False,,
5572,,,,,,False,,
5573,,,,,,False,,
5574,,,,,,False,,
5575,,,,,,False,,
5576,,,,,,False,,
5577,,,,,,False,,
5578,,,,,,False,,
5579,,,,,,False,,
5580,,,,,,False,,
5581,,,,,,False,,
5582,,,,,,False,,
5583,,,,,,False,,
5584,,,,,,False,,
5585,,,,,,False,,
5586,,,,,,False,,
5587,,,,,,False,,
5588,,,,,,False,,
5589,,,,,,False,,
5590,,,,,,False,,
5591,,,,,,False,,
5592,,,,,,False,,
5593,,,,,,False,,
5594,,,,,,False,,
5595,,,,,,False,,
5596,,,,,,False,,
5597,,,,,,False,,
5598,,,,,,False,,
5599,,,,,,False,,
5600,,,,,,False,,
5601,,,,,,False,,
5602,,,,,,False,,
5603,,,,,,False,,
5604,,,,,,False,,
5605,,,,,,False,,
5606,,,,,,False,,
5607,,,,,,False,,
5608,,,,,,False,,
5609,,,,,,False,,
5610,,,,,,False,,
5611,,,,,,False,,
5612,,,,,,False,,
5613,,,,,,False,,
5614,,,,,,False,,
5615,,,,,,False,,
5616,,,,,,False,,
5617,,,,,,False,,
5618,,,,,,False,,
5619,,,,,,False,,
5620,,,,,,False,,
5621,,,,,,False,,
5622,,,,,,False,,
5623,,,,,,False,,
5624,,,,,,False,,
5625,,,,,,False,,
5626,,,,,,False,,
5627,,,,,,False,,
5628,,,,,,False,,
5629,,,,,,False,,
5630,,,,,,False,,
5631,,,,,,False,,
5632,,,,,,False,,
5633,,,,,,False,,
5634,,,,,,False,,
5635,,,,,,False,,
5636,,,,,,False,,
5637,,,,,,False,,
5638,,,,,,False,,
5639,,,,,,False,,
5640,,,,,,False,,
5641,,,,,,False,,
5642,,,,,,False,,
5643,,,,,,False,,
5644,,,,,,False,,
5645,,,,,,False,,
5646,,,,,,False,,
5647,,,,,,False,,
5648,,,,,,False,,
5649,,,,,,False,,
5650,,,,,,False,,
5651,,,,,,False,,
5652,,,,,,False,,
5653,,,,,,False,,
5654,,,,,,False,,
5655,,,,,,False,,
5656,,,,,,False,,
5657,,,,,,False,,
5658,,,,,,False,,
5659,,,,,,False,,
5660,,,,,,False,,
5661,,,,,,False,,
5662,,,,,,False,,
5663,,,,,,False,,
5664,,,,,,False,,
5665,,,,,,False,,
5666,,,,,,False,,
5667,,,,,,False,,
5668,,,,,,False,,
5669,,,,,,False,False,
5670,,,,,,False,False,
5671,,,-0.6817359244299825,-1.0,0.476141742115511,False,False,
5672,,,,,,False,False,
5673,,,-0.5570773697416505,-1.0,0.2672164799757853,False,False,
5674,,,,,,False,False,
5675,,,,,,False,False,
5676,,,-0.8005925915943519,-0.736505226756788,0.30970034413889597,False,False,
5677,,,,,,False,False,
5678,,,-0.529079670045208,-0.4397338197452238,0.22900089006633714,False,False,
5679,,,,,,False,False,
5680,,,-0.5918065031404819,-0.57109452018595,0.23156508437851658,False,False,
5681,,,,,,False,False,
5682,,,,,,False,False,
5683,,,1.0,1.0,-0.002937663080769034,False,False,
5684,,,,,,False,False,
5685,,,-0.09094655466142075,-0.2748475602404255,-0.09061630498996016,False,False,
5686,,,,,,False,False,
5687,,,-1.0,-1.0,0.0488133277464435,False,False,
5688,,,,,,False,False,
5689,,,,,,False,False,
5690,,,0.7749380824386376,-0.2667423038609722,1.0,False,False,
